PATHWAY NAME                                                              |        NES |    p-VALUE | FDR q-VALUE | PATHWAY COMMENTS 
Matrix_Metalloproteinases                                                 |   1.535200 |   0.037647 |   0.329649 | BioCarta 
dcPathway                                                                 |   1.531526 |   0.057325 |   0.330398 | Dendritic cells internalize and present antigen, after which they migrate to lymphocyte-rich tissues and induce T and B cell differentiation. 
monocytePathway                                                           |   1.528457 |   0.073913 |   0.329659 | BioCarta 
GO_ROS                                                                    |   1.523415 |   0.057325 |   0.334234 | FO 
41bbPathway                                                               |   1.521044 |   0.048729 |   0.332181 | TNF-type receptor 4-1BB is bound by TRAF1 to activate the MAP kinase pathway in activated T cells. 
MAPKKK_cascade                                                            |   1.516837 |   0.030864 |   0.334413 | GO 
pepiPathway                                                               |   1.515131 |   0.039648 |   0.330669 | BioCarta 
S1P_Signaling                                                             |   1.509590 |   0.065263 |   0.335262 | BioCarta 
il5Pathway                                                                |   1.496776 |   0.050526 |   0.358443 | BioCarta 
stressPathway                                                             |   1.495899 |   0.045752 |   0.352699 | BioCarta 
MAP00360_Phenylalanine_metabolism                                         |   1.494398 |   0.053079 |   0.348376 | GenMAPP 
lairPathway                                                               |   1.485182 |   0.068396 |   0.361851 | BioCarta 
eosinophilsPathway                                                        |   1.482371 |   0.066532 |   0.361082 | Recruitment of eosinophils in the inflammatory response observed in asthma occurs via the chemoattractant eotaxin binding to the CCR3 receptor. 
mspPathway                                                                |   1.476675 |   0.045662 |   0.366803 | BioCarta 
freePathway                                                               |   1.475665 |   0.084746 |   0.362419 | Neutrophils release superoxide to induce lysis in invading bacteria; in neighboring endothelial cells, superoxide dismutase scavenges radicals but produces pro-apoptotic peroxides. 
cell_adhesion                                                             |   1.474991 |   0.033898 |   0.357093 | The attachment of a cell, either to another cell or to the extracellular matrix, via cell adhesion molecules. 
tnfr2Pathway                                                              |   1.463982 |   0.079914 |   0.375533 | BioCarta 
CR_CAM                                                                    |   1.460148 |   0.039261 |   0.377025 | PNAS_2002 
ranklPathway                                                              |   1.459844 |   0.069869 |   0.370879 | BioCarta 
plcePathway                                                               |   1.455143 |   0.076152 |   0.375228 | BioCarta 
ST_MONOCYTE_AD_PATHWAY                                                    |   1.453269 |   0.107221 |   0.373296 | Signalling Transduction KE 
HTERT_DOWN                                                                |   1.451366 |   0.042793 |   0.371995 | Smith_et_al_2003 
tollPathway                                                               |   1.438995 |   0.097826 |   0.396506 | BioCarta 
Pentose_Phosphate_Pathway                                                 |   1.435081 |   0.072210 |   0.400201 | BLACK 
ANTI_CD44_DOWN                                                            |   1.435002 |   0.090110 |   0.393785 | Hogerkorp_et_al_2003 
lymphocytePathway                                                         |   1.431474 |   0.086768 |   0.396371 | BioCarta 
MAP00380_Tryptophan_metabolism                                            |   1.430686 |   0.083333 |   0.391794 | GenMAPP 
cell_motility                                                             |   1.429394 |   0.046272 |   0.388755 | Any process involved in the controlled movement of a cell. 
MAP00603_Globoside_metabolism                                             |   1.427369 |   0.101952 |   0.387008 | GenMAPP 
MAP_kinase_kinase_activity                                                |   1.423029 |   0.053942 |   0.391082 | GenMAPP 
relaPathway                                                               |   1.422596 |   0.121277 |   0.386239 | BioCarta 
ST_Type_I_Interferon_Pathway                                              |   1.422085 |   0.082105 |   0.381631 | Signalling Transduction KE 
erythPathway                                                              |   1.421366 |   0.101053 |   0.377720 | Erythropoietin selectively stimulates erythrocyte differentiation from CFU-GEMM cells in bone marrow. 
ldlPathway                                                                |   1.409745 |   0.090110 |   0.399735 | BioCarta 
il1rPathway                                                               |   1.402473 |   0.128540 |   0.410864 | BioCarta 
cell_adhesion_receptor_activity                                           |   1.390090 |   0.101896 |   0.434564 | OBSOLETE. Combining with cell adhesion molecules to initiate a change in cell activity. 
intrinsicPathway                                                          |   1.380100 |   0.126273 |   0.453603 | BioCarta 
ifnaPathway                                                               |   1.374675 |   0.109208 |   0.460871 | BioCarta 
ADULT_LIVER_vs_FETAL_LIVER_GNF2                                           |   1.369233 |   0.100446 |   0.467760 | Manually Curated 
egfr_smrtePathway                                                         |   1.364225 |   0.138889 |   0.473774 | EGF receptor activation inhibits SMRT, a transcriptional co-repressor that interacts with transcription factor complexes and gene silencers. 
ST_Tumor_Necrosis_Factor_Pathway                                          |   1.363656 |   0.140389 |   0.469155 | Signalling Transduction KE 
mta3Pathway                                                               |   1.362802 |   0.134066 |   0.465363 | BioCarta 
blymphocytePathway                                                        |   1.360905 |   0.139738 |   0.464482 | B cells express the major histocompatibility complex (class II MHC), immunoglobulins, adhesion proteins, and other factors on their cell surface. 
pentosePathway                                                            |   1.360026 |   0.080435 |   0.460813 | BLACK 
MAP00590_Prostaglandin_and_leukotriene_metabolism                         |   1.351491 |   0.103044 |   0.476407 | GenMAPP 
classicPathway                                                            |   1.340847 |   0.127615 |   0.496662 | The classic complement pathway is initiated by antibodies and promotes phagocytosis and lysis of foreign cells as well as activating the inflammatory response. 
inflamPathway                                                             |   1.339726 |   0.109959 |   0.493721 | BioCarta 
GLYCOL                                                                    |   1.338584 |   0.158333 |   0.490641 | Manually Curated 
cytokinePathway                                                           |   1.337201 |   0.140725 |   0.488135 | Intercellular signaling in the immune system occurs via secretion of cytokines, which promote antigen-dependent B and T cell response. 
bcl2family_and_reg_network                                                |   1.336151 |   0.126667 |   0.485118 | GEArray 
ST_IL_13_PATHWAY                                                          |   1.331745 |   0.130064 |   0.484916 | Signalling Transduction KE 
ST_Interleukin_13_Pathway                                                 |   1.331745 |   0.130064 |   0.484916 | Signalling Transduction KE 
fatty_acid_metabolism                                                     |   1.331563 |   0.138947 |   0.479948 | BioCarta 
CR_TRANSPORT_OF_VESICLES                                                  |   1.323156 |   0.164557 |   0.494663 | PNAS_2015 
tnf_and_fas_network                                                       |   1.319881 |   0.164760 |   0.496946 | BioCarta 
MAP00860_Porphyrin_and_chlorophyll_metabolism                             |   1.313078 |   0.193277 |   0.508194 | GenMAPP 
eponfkbPathway                                                            |   1.302680 |   0.219149 |   0.528832 | The cytokine erythropoietin (Epo) prevents stress-induced neuronal apoptosis by stimulating anti-apoptotic pathways through JAK2 kinase and NF-kB. 
EMT_DOWN                                                                  |   1.300950 |   0.136919 |   0.527618 | Jechlinger_et_al_2003 
fibrinolysisPathway                                                       |   1.297247 |   0.173554 |   0.532103 | Thrombin cleavage of fibrinogen results in rapid formation of fibrin threads that form a mesh to capture platelets and other blood cells into a clot. 
mcalpainPathway                                                           |   1.295749 |   0.177966 |   0.530853 | BioCarta 
ephA4Pathway                                                              |   1.291308 |   0.160521 |   0.536624 | Eph kinases are receptor tyrosine kinases that bind surface-expressed ephrin ligands and are active in neuronal development and platelet aggregation. 
gabaPathway                                                               |   1.285789 |   0.190171 |   0.545239 | BioCarta 
MAP00310_Lysine_degradation                                               |   1.283142 |   0.177686 |   0.546014 | GenMAPP 
ahspPathway                                                               |   1.272941 |   0.247984 |   0.565333 | Alpha-hemoglobin stabilizing protein (AHSP) prevents precitipation of hemoglobin alpha-subunits. 
keratinocytePathway                                                       |   1.271990 |   0.187359 |   0.562124 | BioCarta 
CR_CYTOSKELETON                                                           |   1.261235 |   0.185268 |   0.584355 | PNAS_2005 
acetaminophenPathway                                                      |   1.260785 |   0.208247 |   0.579828 | Acetaminophen selectively inhibits Cox-3, which is localized to the brain, and yields the toxic metabolite NAPQI when processed by CAR in the liver. 
eea1Pathway                                                               |   1.259077 |   0.198783 |   0.578506 | The FYVE-finger proteins EEA1 and HRS are localized to endosome membranes and regulate sorting and ubiquitination in the vesicle transport system. 
TGF_Beta_Signaling_Pathway                                                |   1.254967 |   0.171625 |   0.583192 | BioCarta 
cd40Pathway                                                               |   1.247443 |   0.248421 |   0.596503 | The CD40 receptor is a TNF-type receptor that regulates immunoglobulin expression in B cells and moderates T cell activation via T-cell expression of its ligand. 
tall1Pathway                                                              |   1.242800 |   0.214583 |   0.602518 | BioCarta 
akap13Pathway                                                             |   1.237294 |   0.227273 |   0.611203 | A-kinase anchor protein 13 (AKAP13) localizes protein kinase A holoenzyme and is a nucleotide exchange factor for Rho/Rac. 
ANDROGEN_UP_GENES                                                         |   1.236822 |   0.147465 |   0.606795 | na 
ST_Ga12_Pathway                                                           |   1.235078 |   0.200426 |   0.605939 | Signalling Transduction KE 
longevityPathway                                                          |   1.234210 |   0.229703 |   0.602948 | BioCarta 
Complement_Activation_Classical                                           |   1.229372 |   0.201245 |   0.609490 | Processes involved in the classical complement cascade, which promotes microbial lysis, disposal of immune complexes, and regulation of other immune processes. 
electron_transporter_activity                                             |   1.229231 |   0.161446 |   0.604374 | BioCarta 
ST_Interferon_gamma_Pathway                                               |   1.218234 |   0.246914 |   0.626022 | Signalling Transduction KE 
lechtinPathway                                                            |   1.217960 |   0.244353 |   0.621288 | BioCarta 
carm1Pathway                                                              |   1.217491 |   0.204255 |   0.617221 | The methyltransferase CARM1 interacts with transcription factors such as CBP/p300 and methylates histones H3 and H4. 
EMT_UP                                                                    |   1.215837 |   0.200000 |   0.616038 | Jechlinger_et_al_2003 
rabPathway                                                                |   1.212343 |   0.242739 |   0.619464 | BioCarta 
NFKB_INDUCED                                                              |   1.211886 |   0.255319 |   0.615483 | Hinata_et_al_2003 
il22bpPathway                                                             |   1.197863 |   0.277186 |   0.644709 | BioCarta 
FRASOR_ER_DOWN                                                            |   1.196315 |   0.205251 |   0.643255 | Frasor_et_al_2004 
pkcPathway                                                                |   1.194585 |   0.296375 |   0.642194 | BioCarta 
mrpPathway                                                                |   1.188529 |   0.268499 |   0.652072 | BioCarta 
HOX_LIST_JP                                                               |   1.185829 |   0.263374 |   0.653329 | Manually Curated 
nfkbPathway                                                               |   1.185718 |   0.292473 |   0.648434 | BioCarta 
GATA1_WEISS                                                               |   1.184879 |   0.306584 |   0.645242 | Weiss_et_al_2003 
p35alzheimersPathway                                                      |   1.182029 |   0.284188 |   0.647226 | BioCarta 
MAP00650_Butanoate_metabolism                                             |   1.178169 |   0.252654 |   0.651318 | GenMAPP 
ST_Integrin_Signaling_Pathway                                             |   1.175366 |   0.243304 |   0.653098 | Signalling Transduction KE 
tidPathway                                                                |   1.174085 |   0.273523 |   0.650973 | BioCarta 
MAP00561_Glycerolipid_metabolism                                          |   1.173015 |   0.256818 |   0.648431 | GenMAPP 
stat3Pathway                                                              |   1.172452 |   0.290984 |   0.644784 | BioCarta 
GPCRs_Class_A_Rhodopsin-like                                              |   1.170126 |   0.278281 |   0.645293 | GO 
fosbPathway                                                               |   1.163685 |   0.313230 |   0.655181 | BLACK 
ST_STAT3_Pathway                                                          |   1.163128 |   0.335443 |   0.651631 | Signalling Transduction KE 
SIG_CD40PATHWAYMAP                                                        |   1.162516 |   0.275574 |   0.648354 | SignallingAlliance 
SA_DAG1                                                                   |   1.155835 |   0.303150 |   0.658948 | SigmaAldrich 
notchPathway                                                              |   1.155168 |   0.310962 |   0.655739 | BLACK 
cdmacPathway                                                              |   1.154680 |   0.306346 |   0.652034 | Cadmium 2+ promotes cell proliferation in cultured macrophages by entering the cell via calcium channels and activating the MAP kinase pathway. 
epoPathway                                                                |   1.154595 |   0.311579 |   0.647628 | Erythropoietin, which activates the MAPK pathway, stimulates erythrocyte production and is an effective treatment for anemia. 
MAP00010_Glycolysis_Gluconeogenesis                                       |   1.147865 |   0.283516 |   0.658122 | GenMAPP 
neurotransmittersPathway                                                  |   1.144183 |   0.283096 |   0.661946 | BLACK 
MAP00030_Pentose_phosphate_pathway                                        |   1.144079 |   0.304536 |   0.657537 | GenMAPP 
methioninePathway                                                         |   1.140317 |   0.323404 |   0.661627 | BLACK 
nktPathway                                                                |   1.139962 |   0.271762 |   0.657801 | BioCarta 
TESTIS_GENES_FROM_XHX_AND_NETAFFX                                         |   1.139100 |   0.300000 |   0.655249 | na 
pyk2Pathway                                                               |   1.133519 |   0.308793 |   0.662493 | BioCarta 
nthiPathway                                                               |   1.132814 |   0.327473 |   0.659681 | BioCarta 
MAP00602_Blood_group_glycolipid_biosynthesis_neolact_series               |   1.132596 |   0.321277 |   0.655768 | GenMAPP 
ST_Differentiation_Pathway_in_PC12_Cells                                  |   1.129455 |   0.297483 |   0.658634 | Signalling Transduction KE 
SA_TRKA_RECEPTOR                                                          |   1.122172 |   0.352941 |   0.669816 | SigmaAldrich 
ace2Pathway                                                               |   1.114534 |   0.352321 |   0.682620 | Angiotensin-converting enzyme 2 (ACE2) digests the blood-pressure regulator angiotensin II (AGT) ultimately to the vasodilator AGT1-7. 
ST_B_Cell_Antigen_Receptor                                                |   1.114524 |   0.331906 |   0.678183 | Signalling Transduction KE 
ST_Jak_STAT_Pathway                                                       |   1.114451 |   0.386364 |   0.673935 | Signalling Transduction KE 
GPCRs_Class_B_Secretin-like                                               |   1.111227 |   0.337278 |   0.676664 | GO 
gata3Pathway                                                              |   1.111073 |   0.348195 |   0.672640 | BioCarta 
ptdinsPathway                                                             |   1.109691 |   0.329854 |   0.671397 | BioCarta 
MAP00500_Starch_and_sucrose_metabolism                                    |   1.107364 |   0.366890 |   0.671991 | GenMAPP 
MAP00350_Tyrosine_metabolism                                              |   1.107105 |   0.348178 |   0.668342 | GenMAPP 
ionPathway                                                                |   1.106709 |   0.378205 |   0.664934 | BioCarta 
CR_HORMONAL_FUNCTIONS                                                     |   1.102547 |   0.358452 |   0.669194 | PNAS_2008 
insulin_signalling                                                        |   1.100681 |   0.331849 |   0.669050 | BioCarta 
gsk3Pathway                                                               |   1.100680 |   0.356347 |   0.664945 | BioCarta 
CR_TRANSCRIPTION_FACTORS                                                  |   1.094324 |   0.361556 |   0.673563 | PNAS_2013 
SA_B_CELL_RECEPTOR_COMPLEXES                                              |   1.091773 |   0.354430 |   0.674568 | SigmaAldrich 
INSULIN_2F_DOWN                                                           |   1.090994 |   0.342048 |   0.672162 | Rome_et_al_2003 
ST_ERK1_ERK2_MAPK_Pathway                                                 |   1.087874 |   0.343096 |   0.674404 | Signalling Transduction KE 
ST_G_alpha_5_Pathway                                                      |   1.087598 |   0.347345 |   0.670929 | Signalling Transduction KE 
MAP00330_Arginine_and_proline_metabolism                                  |   1.081609 |   0.372807 |   0.679397 | GenMAPP 
MAPK_Cascade                                                              |   1.077838 |   0.369330 |   0.683140 | GO 
anthraxPathway                                                            |   1.076427 |   0.384758 |   0.681930 | BLACK 
cardiacegfPathway                                                         |   1.073789 |   0.380435 |   0.683196 | Cardiac hypertrophy, a response to high blood pressure, is stimulated by GPCR ligands such as angiotensin II that activate the EGF pathway. 
ST_GRANULE_CELL_SURVIVAL_PATHWAY                                          |   1.071856 |   0.343681 |   0.683350 | Signalling Transduction KE 
biopeptidesPathway                                                        |   1.069188 |   0.379668 |   0.684702 | Extracellular signaling peptides exert biological effects via G-protein coupled receptors (GPCRs), which activate intracellular GTPases. 
nkcellsPathway                                                            |   1.066504 |   0.405063 |   0.685865 | BioCarta 
cell_death                                                                |   1.064340 |   0.393593 |   0.686216 | Activation or halting of cellular processes so that vital functions markedly cease, culminating in cell death. 
il3Pathway                                                                |   1.058574 |   0.403846 |   0.693385 | BioCarta 
soddPathway                                                               |   1.053780 |   0.395973 |   0.699055 | BioCarta 
deathPathway                                                              |   1.051034 |   0.378440 |   0.700583 | Death receptors such as Fas and DR3, 4, and 5 transduce pro-apoptotic signaling by oligomerizing to activate the caspase cascade. 
MAP00450_Selenoamino_acid_metabolism                                      |   1.044720 |   0.436123 |   0.709186 | GenMAPP 
vitcbPathway                                                              |   1.044686 |   0.425806 |   0.705296 | BioCarta 
ngfPathway                                                                |   1.036182 |   0.415094 |   0.718011 | BioCarta 
etsPathway                                                                |   1.034194 |   0.426407 |   0.717925 | The Ets transcription factors are activated by Ras and promote macrophage differentiation. 
ptenPathway                                                               |   1.034091 |   0.448065 |   0.714263 | BioCarta 
mapkPathway                                                               |   1.033137 |   0.408578 |   0.712215 | BioCarta 
CR_SIGNALLING                                                             |   1.033024 |   0.380711 |   0.708629 | PNAS_2012 
GNF_FEMALE_GENES                                                          |   1.031474 |   0.403846 |   0.708038 | na 
spryPathway                                                               |   1.031164 |   0.439024 |   0.704847 | BioCarta 
hcmvPathway                                                               |   1.028246 |   0.470213 |   0.706735 | BioCarta 
HEMO_TF_LIST_JP                                                           |   1.025117 |   0.406742 |   0.708981 | Manually Curated 
MAP00512_O_Glycans_biosynthesis                                           |   1.022084 |   0.456767 |   0.711038 | GenMAPP 
UPREG_BY_HOXA9                                                            |   1.010172 |   0.459459 |   0.730351 | Manually Curated 
ST_Interleukin_4_Pathway                                                  |   1.009938 |   0.465409 |   0.727010 | Signalling Transduction KE 
metPathway                                                                |   1.005496 |   0.456954 |   0.731372 | BioCarta 
ST_ADRENERGIC                                                             |   1.003797 |   0.450226 |   0.730624 | Signalling Transduction KE 
sppaPathway                                                               |   1.000318 |   0.466377 |   0.733922 | BioCarta 
rarPathway                                                                |   0.991967 |   0.525151 |   0.745626 | BLACK 
salmonellaPathway                                                         |   0.991538 |   0.478842 |   0.742806 | BioCarta 
CR_ANGIOG                                                                 |   0.988953 |   0.503067 |   0.743960 | PNAS_2001 
rhoPathway                                                                |   0.986865 |   0.479482 |   0.744098 | BioCarta 
gcrPathway                                                                |   0.983894 |   0.479508 |   0.745916 | BioCarta 
cxcr4Pathway                                                              |   0.978612 |   0.497890 |   0.752207 | CXCR4 is a G-protein coupled receptor that responds to the ligand SDF-1 by activating Ras and PI3 kinase to promote lymphocyte chemotaxis. 
GLUCOSE_UP                                                                |   0.976522 |   0.475113 |   0.752605 | Peng_at_al_2002 
fmlppathway                                                               |   0.964548 |   0.502174 |   0.770659 | The fMLP receptor is a G-protein coupled receptor in neutrophiles that recognizes formylated bacterial peptides and activates NADPH oxidase. 
ST_Wnt_beta_catenin_Pathway                                               |   0.963055 |   0.504016 |   0.769866 | Signalling Transduction KE 
no1Pathway                                                                |   0.957432 |   0.533623 |   0.776559 | BioCarta 
cdk5Pathway                                                               |   0.957261 |   0.501984 |   0.773075 | Cdk5, a regulatory kinase implicated in neuronal development, represses Mek1, which downregulates the MAP kinase pathway. 
cdc42racPathway                                                           |   0.950813 |   0.538947 |   0.781307 | PI3 kinase stimulates cell migration by activating cdc42, which activates ARP2/3, which in turn promotes formation of new actin fibers. 
GLYCOGEN                                                                  |   0.947912 |   0.554566 |   0.782745 | Manually Curated 
ecmPathway                                                                |   0.947194 |   0.523810 |   0.780364 | Extracellular matrix induces integrin-mediated FAK phosphorylation in epithelial cells, leading to PI3 and MAP kinase activation and actin reorganization. 
ST_Wnt_Ca2_cyclic_GMP_Pathway                                             |   0.939703 |   0.514344 |   0.789773 | Signalling Transduction KE 
INS                                                                       |   0.925577 |   0.570842 |   0.812209 | Manually Curated 
torPathway                                                                |   0.923896 |   0.608137 |   0.811564 | BLACK 
slrp2Pathway                                                              |   0.922585 |   0.612967 |   0.810366 | BLACK 
GLUCO                                                                     |   0.922423 |   0.543524 |   0.806825 | Manually Curated 
flumazenilPathway                                                         |   0.921172 |   0.582796 |   0.805475 | Flumazenil is a benzodiazepine receptor antagonist that may induce protective preconditioning in ischemic cardiomyocytes. 
dreamPathway                                                              |   0.913062 |   0.562771 |   0.816453 | The transcription factor DREAM blocks expression of the prodynorphin gene, which encodes the ligand of an opioid receptor that blocks pain signaling. 
slrpPathway                                                               |   0.906282 |   0.609312 |   0.825043 | BioCarta 
P53_UP                                                                    |   0.904166 |   0.579070 |   0.824953 | Kannan_et_al_2001 
aktPathway                                                                |   0.901234 |   0.614256 |   0.826230 | Second messenger PIP3 promotes cell survival by activating the anti-apoptotic kinase AKT. 
raccycdPathway                                                            |   0.896618 |   0.635789 |   0.830644 | BioCarta 
agpcrPathway                                                              |   0.893211 |   0.591579 |   0.832619 | G-protein coupled receptors (GPCRs) transduce extracellular signals across the plasma membrane; attenuation occurs by signal molecule degradation or receptor-mediated endocytosis. 
egfPathway                                                                |   0.890777 |   0.599165 |   0.833207 | The epidermal growth factor (EGF) peptide stimulates the EGF receptor to promote cell proliferation via the MAP kinase and Ras pathways. 
tpoPathway                                                                |   0.887393 |   0.619342 |   0.835153 | BioCarta 
cftrPathway                                                               |   0.885330 |   0.623482 |   0.835099 | The cAMP-regulated chloride channel CFTR (deficient in cystic fibrosis) is regulated by the surface-localized beta-adrenergic receptor. 
leptinPathway                                                             |   0.881061 |   0.617886 |   0.839043 | BioCarta 
igf1rPathway                                                              |   0.878755 |   0.606786 |   0.839343 | BioCarta 
glycolysisPathway                                                         |   0.877942 |   0.621849 |   0.836875 | BioCarta 
ck1Pathway                                                                |   0.876105 |   0.621564 |   0.836556 | Caseine kinase 1 (CK1) and cdk5 phosphorylate DARPP32 in the dopamine signaling pathway. 
MAP00410_beta_Alanine_metabolism                                          |   0.871191 |   0.633772 |   0.841791 | GenMAPP 
GPCRs_Class_A_Rhodopsin-like_2                                            |   0.869914 |   0.698152 |   0.840208 | GO 
ccr3Pathway                                                               |   0.862749 |   0.597077 |   0.848567 | CCR3 is a G-protein coupled receptor that recruits eosinophils to inflammation sites via chemokine ligands. 
shhPathway                                                                |   0.860620 |   0.659229 |   0.848673 | BioCarta 
pparPathway                                                               |   0.858944 |   0.677104 |   0.847882 | BLACK 
rasPathway                                                                |   0.858301 |   0.651357 |   0.845396 | BioCarta 
s1pPathway                                                                |   0.857583 |   0.651899 |   0.842922 | BioCarta 
breast_cancer_estrogen_signalling                                         |   0.855528 |   0.775253 |   0.842838 | GEArray 
ppargPathway                                                              |   0.854834 |   0.657201 |   0.840527 | BioCarta 
cell_growth_and_or_maintenance                                            |   0.853322 |   0.695946 |   0.839475 | The processes pertinent to the integrated function of a cell. 
MAP00562_Inositol_phosphate_metabolism                                    |   0.851373 |   0.641593 |   0.839156 | GenMAPP 
MAP00190_Oxidative_phosphorylation                                        |   0.842754 |   0.634409 |   0.850126 | GenMAPP 
MAP00601_Blood_group_glycolipid_biosynthesis_lact_series                  |   0.842406 |   0.668675 |   0.847200 | GenMAPP 
SA_PTEN_PATHWAY                                                           |   0.841733 |   0.656587 |   0.844836 | SigmaAldrich 
il4Pathway                                                                |   0.838049 |   0.680723 |   0.847419 | BioCarta 
asbcellPathway                                                            |   0.835237 |   0.642570 |   0.848335 | B cells require interaction with helper T cells to produce antigen-specific immunoglobulins as a key element of the human immune response. 
ST_p38_MAPK_Pathway                                                       |   0.824488 |   0.689956 |   0.862237 | Signalling Transduction KE 
MAP00430_Taurine_and_hypotaurine_metabolism                               |   0.821965 |   0.725100 |   0.862715 | GenMAPP 
GPCRs_Class_C_Metabotropic_glutamate_pheromone                            |   0.818728 |   0.675944 |   0.864409 | GO 
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases                   |   0.818145 |   0.695364 |   0.861841 | SignallingAlliance 
SA_BONE_MORPHOGENETIC                                                     |   0.815249 |   0.774000 |   0.862696 | SigmaAldrich 
MAP00640_Propanoate_metabolism                                            |   0.812240 |   0.704017 |   0.863769 | GenMAPP 
ranPathway                                                                |   0.811936 |   0.765657 |   0.860775 | BioCarta 
botulinPathway                                                            |   0.805850 |   0.729293 |   0.866700 | BLACK 
actinYPathway                                                             |   0.805714 |   0.704348 |   0.863525 | The Arp 2/3 complex localizes to the Y-junction of polymerizing actin fibers that enable lamellipod extension and consequent cell motility. 
akapCentrosomePathway                                                     |   0.805212 |   0.740286 |   0.860947 | Anchoring protein AKAP350 keeps protein kinase A bound to the centrosome during interphase. 
reelinPathway                                                             |   0.799971 |   0.695198 |   0.865795 | BioCarta 
badPathway                                                                |   0.797699 |   0.761388 |   0.865688 | When phosphorylated, BAD is inhibited by sequestration; when non-phosphorylated, it promotes apoptosis by inactivating pro-survival BCL-XL and BCL-2. 
myosinPathway                                                             |   0.796257 |   0.755507 |   0.864461 | BioCarta 
achPathway                                                                |   0.793829 |   0.732068 |   0.864718 | Nicotinic acetylcholine receptors are ligand-gated ion channels that primarily mediate neuromuscular signaling and may inhibit neuronal apoptosis via the AKT pathway. 
Il12Pathway                                                               |   0.780118 |   0.731915 |   0.881458 | BioCarta 
